Priority,URL,Expected Status,Expected Final URL,Type,Ads Used?,Test With Params,Owner,Result,Notes
P2,https://deckmastersak.com/tag/fits-all-terrain/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/is-trex-decking-affordable/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/trex/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/best-uses-for-composite-boards/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/pressure-treated-wood/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/outdoor-entertainment-space/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/composite-decking-material/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/is-trex-environmentally-friendly/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/sapele-mahogany/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/wood-decking-material/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/composite-materials/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/increased-home-value/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/docks/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
P2,https://deckmastersak.com/tag/10-benefits-of-adding-a-deck-to-your-home/,301,https://deckmastersak.com/blog,legacy-redirect,No,No,,,
